h3,lat,lon,area_km2,score,class,direct_activity_score,neighborhood_inherited_score,pos_food,pos_shop,pos_supermarket,pos_pharmacy,pos_fitness,pos_education,pos_healthcare,pos_office,pos_bank,pos_transport,pos_leisure,pos_fuel,pos_residential,pos_commercial,pos_mixed_use,pos_road_density,pos_anchor_proximity,positive_total,pen_unsuitable_landuse,pen_industrial,pen_isolation,pen_low_connectivity,penalty_total,raw,score_physical,score_rank_pct,count_shop,count_supermarket,count_food,count_pharmacy,count_healthcare,count_education,count_fitness,count_office,count_bank,count_transport,count_leisure,count_fuel,feat_unsuitable_frac,feat_industrial_frac,feat_residential,feat_commercial,feat_road_density,feat_mixed_use,feat_isolation,feat_anchor_proximity,feat_low_connectivity,raw_lu_frac_unsuitable,raw_lu_frac_residential,raw_lu_frac_commercial,raw_lu_frac_industrial
8aa8b1b0ac2ffff,-22.445943920469198,-41.8038881027995,0.018350509304932906,12.068408137660894,muito ruim,12.068408137660894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08377561447531433,0.08377561447531433,0.0,0.0,0.9,0.4,1.3,-1.2162243855246857,7.18,23.48,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.11286522163990144,1.0,0.0,0.0,0.0,0.0
8aa8b1b0a01ffff,-22.438301420961942,-41.808112097106374,0.018350875650819297,18.821220708608696,muito ruim,18.821220708608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16931762735806707,0.16931762735806707,0.0,0.0,0.9,0.4,1.3,-1.130682372641933,10.2,38.93,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.1469843557461257,1.0,0.0,0.0,0.0,0.0
8aa8b1b0855ffff,-22.44897654076578,-41.82370238343799,0.018350436862235264,11.163362953756618,muito ruim,11.163362953756618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07496031291016035,0.07496031291016035,0.0,0.0,0.9,0.4,1.3,-1.2250396870898397,6.79,21.37,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.10934916624031031,1.0,0.0,0.0,0.0,0.0
8aa8b1b0e477fff,-22.459119830709547,-41.801977532926045,0.018349895766633775,2.175383808193867,muito ruim,2.175383808193867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009903273483537279,0.009903273483537279,0.0,0.0,0.9,0.4,1.3,-1.2900967265164627,2.47,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.08340063197103532,1.0,0.0,0.0,0.0,0.0
8aa8b1a2088ffff,-22.401069246705305,-41.80862679393115,0.018352585418389432,83.90938119412739,muito bom,53.924430226152765,29.984950967974626,0.8685057113364597,0.9167476068088138,0.9099999999999999,0.0,0.11953897089940513,0.972972972972973,0.0,1.0,0.0,1.1,0.06270662258718147,0.0,0.6727531229185832,0.03544776780122612,1.2677394562995352,0.790617636662727,1.8,10.517029868286905,0.996573324922218,0.08824658935230759,0.005485956317764867,0.0837529453349092,1.1740588159271999,9.342971052359704,80.9,90.94,1,0,1,0,0,0,0,1,0,0,0,0,0.4529878749646445,0.22061647338076895,1.071881865160638,0.007859117563114448,308607.6922102837,0.6046652325422474,0.006095507019738741,0.8671783290580629,0.209382363337273,0.03529335272543685,0.0,0.0,0.21916542319570925
8aa8b1a24ce7fff,-22.42189643101751,-41.80249260405542,0.018351609303871447,29.19310995658074,ruim,29.19310995658074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42180315023170145,0.42180315023170145,0.0,0.0,0.9,0.4,1.3,-0.8781968497682986,16.1,59.73,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.24769027935600355,1.0,0.0,0.0,0.0,0.0
8aa8b1b0a30ffff,-22.435288720972547,-41.81550775943704,0.01835103942218805,22.56157304085376,ruim,22.56157304085376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2382713473507777,0.2382713473507777,0.0,0.0,0.9,0.4,1.3,-1.0617286526492222,12.1,46.96,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.17448711304947503,1.0,0.0,0.0,0.0,0.0
8aa8b1b0e767fff,-22.45610812878126,-41.80937345986626,0.018350060560790162,5.642566377884902,muito ruim,5.642566377884902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031132968722158937,0.031132968722158937,0.0,0.0,0.9,0.4,1.3,-1.2688670312778412,4.38,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.09186827020481889,1.0,0.0,0.0,0.0,0.0
8aa8b1b19107fff,-22.43194507879891,-41.786910268385796,0.018351090327538355,15.406096709324094,muito ruim,15.406096709324094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12126460137054418,0.12126460137054418,0.0,0.0,0.9,0.4,1.3,-1.1787353986294558,8.64,31.2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.1278180118336277,1.0,0.0,0.0,0.0,0.0
8aa8b1b1db17fff,-22.454990221657454,-41.79530557087615,0.018350061784805666,3.1662061941170765,muito ruim,3.1662061941170765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016186930213271597,0.016186930213271597,0.0,0.0,0.9,0.4,1.3,-1.2838130697867285,3.15,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.08590692004416191,1.0,0.0,0.0,0.0,0.0
