h3,lat,lon,bairro,cluster_id,score_final,direct_activity_score,inherited_score,actionability_score,priority_tier,flags
89a8b1a2417ffff,-22.419085675755003,-41.811208989264365,Virgem Santa,-1,53.259416761037194,30.0,23.259416761037194,51.42345030143732,validar_visualmente,
89a8b1a248fffff,-22.422205179364294,-41.811276186360985,Virgem Santa,-1,51.89949376360124,30.0,21.899493763601242,50.80150978002716,validar_visualmente,
89a8b1a241bffff,-22.419181541429932,-41.805067226652895,Virgem Santa,-1,51.775910948925684,30.0,21.775910948925684,50.746912569344765,validar_visualmente,
89a8b1a2457ffff,-22.417669595772587,-41.801962770708435,Bosque Azul,-1,50.68686575946722,30.0,20.686865759467217,50.28033099991429,validar_visualmente,
89a8b1a2487ffff,-22.42371687161767,-41.81438069008841,Virgem Santa,-1,50.13262171867421,30.0,20.13262171867421,50.053259191365086,validar_visualmente,
89a8b1a24a3ffff,-22.418989577795678,-41.817350754728494,Virgem Santa,-1,50.039157157192534,30.0,20.039157157192534,50.01568124787444,validar_visualmente,
89a8b1a2013ffff,-22.398854198666328,-41.80770144019985,Nova Holanda,6,88.70608606589387,47.443859385555136,41.262226680338735,75.44825308604187,suspeita_halo,inviable_landuse_present
89a8b1a2633ffff,-22.403773444442304,-41.79244818592298,Glória,1,98.19854764672617,30.0,68.19854764672617,51.473722646221276,suspeita_halo,"halo_dominated,inherited_majority"
89a8b1a263bffff,-22.402260999856665,-41.78934384003003,Glória,8,94.7540606239089,30.0,64.7540606239089,48.584516755532576,suspeita_halo,"halo_dominated,inherited_majority"
89a8b1a2603ffff,-22.406988667265818,-41.78637365660578,Cavaleiros,8,67.48615740800214,30.0,37.48615740800214,47.71293779692584,suspeita_halo,inherited_majority
89a8b1a2473ffff,-22.412942209361248,-41.80493289456215,Bosque Azul,7,66.75739352050687,30.0,36.75739352050687,47.22681482197249,suspeita_halo,inherited_majority
89a8b1a26abffff,-22.406893489956566,-41.79251528953555,Glória,1,92.51072199219416,30.0,62.51072199219416,46.725058749035895,suspeita_halo,"halo_dominated,inherited_majority"
89a8b1a26a3ffff,-22.408405796419757,-41.795619666809486,Glória,5,90.0273503463762,30.0,60.027350346376195,44.68895367279663,suspeita_halo,"halo_dominated,inherited_majority"
89a8b1a2607ffff,-22.4053810991051,-41.789410928280276,Glória,8,88.41325180090689,30.0,58.41325180090689,43.379034298962395,suspeita_halo,"halo_dominated,inherited_majority"
89a8b1a26b7ffff,-22.40991801848284,-41.798724060083956,Cavaleiros,5,87.62030350764772,30.0,57.62030350764772,42.73962334507645,suspeita_halo,"halo_dominated,inherited_majority"
89a8b1a2677ffff,-22.400748470904873,-41.78623951017407,Glória,8,85.17157382870026,30.0,55.17157382870026,40.783083544569166,suspeita_halo,"halo_dominated,inherited_majority"
89a8b1a2463ffff,-22.409822378886265,-41.80486572950262,Bosque Azul,7,82.85756328760854,30.0,52.85756328760854,38.96091970412927,suspeita_halo,"halo_dominated,inherited_majority"
89a8b1a26bbffff,-22.410013425874062,-41.79258239380478,Cavaleiros,5,78.39197312003994,30.0,48.391973120039935,35.52658525313528,suspeita_halo,"halo_dominated,inherited_majority"
89a8b1a260fffff,-22.403868623877198,-41.786306583061744,Glória,8,78.10114298713523,30.0,48.10114298713523,35.30700787757709,suspeita_halo,"halo_dominated,inherited_majority"
89a8b1a247bffff,-22.411430156133953,-41.80182846934088,Bosque Azul,5,77.86591032993216,30.0,47.86591032993216,35.12979607459532,suspeita_halo,"halo_dominated,inherited_majority"
89a8b1a26b3ffff,-22.411525678586305,-41.795686786440946,Cavaleiros,5,76.43083044579409,30.0,46.430830445794086,34.0564185919784,suspeita_halo,"halo_dominated,inherited_majority"
89a8b1a2617ffff,-22.408501088763288,-41.78947801718702,Cavaleiros,8,76.2803671234252,30.0,46.280367123425194,33.94466681895406,suspeita_halo,"halo_dominated,inherited_majority"
89a8b1a244fffff,-22.413037846888166,-41.79879119507743,Cavaleiros,5,71.44707654752051,30.0,41.44707654752051,30.441637451665102,suspeita_halo,"halo_dominated,inherited_majority"
